## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])^4[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  4  0  0  0  34  0  0  0  58  0  0  0  460  0  0  0  70  0  0  0  538  0  0  0  716  0  0  0  6312  0  0  0
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])^8[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  5  0  0  0  47  0  0  0  61  0  0  0  489  0  0  0  65  0  0  0  515  0  0  0  758  0  0  0  6252  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  7  0  0  0  36  0  0  0  76  0  0  0  471  0  0  0  59  0  0  0  566  0  0  0  669  0  0  0  6308  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^2[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  38  0  0  0  54  0  0  0  440  0  0  0  64  0  0  0  563  0  0  0  744  0  0  0  6286  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^4[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  22  0  0  0  58  0  0  0  486  0  0  0  51  0  0  0  504  0  0  0  772  0  0  0  6296  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^8[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  4  0  0  0  41  0  0  0  54  0  0  0  487  0  0  0  74  0  0  0  521  0  0  0  764  0  0  0  6247  0  0  0
[Gy:0Gy:2Gy:4]([])[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  49  0  0  0  447  0  0  0  4  0  0  0  36  0  0  0  750  0  0  0  6466  0  0  0  49  0  0  0  391  0  0  0
[Gy:0Gy:2Gy:4]([])^2[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  46  0  0  0  484  0  0  0  4  0  0  0  31  0  0  0  767  0  0  0  6428  0  0  0  47  0  0  0  385  0  0  0
[Gy:0Gy:2Gy:4]([])^4[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  55  0  0  0  499  0  0  0  4  0  0  0  23  0  0  0  732  0  0  0  6443  0  0  0  44  0  0  0  392  0  0  0
[Gy:0Gy:2Gy:4]([])^8[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  57  0  0  0  447  0  0  0  3  0  0  0  25  0  0  0  701  0  0  0  6549  0  0  0  47  0  0  0  363  0  0  0
[Gy:0Gy:1Gy:4]([])[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  36  0  0  0  3  0  0  0  494  0  0  0  33  0  0  0  539  0  0  0  43  0  0  0  6617  0  0  0  427  0  0  0
[Gy:0Gy:1Gy:4]([])^2[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  51  0  0  0  1  0  0  0  543  0  0  0  38  0  0  0  502  0  0  0  36  0  0  0  6569  0  0  0  452  0  0  0
[Gy:0Gy:1Gy:4]([])^4[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  46  0  0  0  3  0  0  0  492  0  0  0  34  0  0  0  552  0  0  0  32  0  0  0  6639  0  0  0  394  0  0  0
[Gy:0Gy:1Gy:4]([])^8[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  46  0  0  0  1  0  0  0  525  0  0  0  29  0  0  0  558  0  0  0  38  0  0  0  6570  0  0  0  425  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  38  0  0  0  53  0  0  0  494  0  0  0  75  0  0  0  536  0  0  0  679  0  0  0  6315  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  7  0  0  0  47  0  0  0  60  0  0  0  496  0  0  0  53  0  0  0  562  0  0  0  712  0  0  0  6255  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  50  0  0  0  54  0  0  0  458  0  0  0  57  0  0  0  526  0  0  0  814  0  0  0  6231  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  3  0  0  0  50  0  0  0  57  0  0  0  489  0  0  0  63  0  0  0  531  0  0  0  783  0  0  0  6216  0  0  0
[Gy:1Gy:3]([])[Gy:1Gy:3]@(0,1,2,3,4)  586  0  0  0  38  0  0  0  6960  0  0  0  452  0  0  0  5  0  0  0  0  0  0  0  142  0  0  0  9  0  0  0
[Gy:1Gy:3]([])^2[Gy:1Gy:3]@(0,1,2,3,4)  616  0  0  0  32  0  0  0  6969  0  0  0  433  0  0  0  4  0  0  0  2  0  0  0  129  0  0  0  7  0  0  0
[Gy:1Gy:3]([])^4[Gy:1Gy:3]@(0,1,2,3,4)  585  0  0  0  39  0  0  0  7053  0  0  0  361  0  0  0  11  0  0  0  1  0  0  0  130  0  0  0  12  0  0  0
[Gy:1Gy:3]([])^8[Gy:1Gy:3]@(0,1,2,3,4)  586  0  0  0  27  0  0  0  6988  0  0  0  440  0  0  0  9  0  0  0  1  0  0  0  130  0  0  0  11  0  0  0
[Gy:2Gy:3]([])[Gy:2Gy:3]@(0,1,2,3,4)  783  0  0  0  6794  0  0  0  42  0  0  0  433  0  0  0  10  0  0  0  123  0  0  0  0  0  0  0  7  0  0  0
[Gy:2Gy:3]([])^2[Gy:2Gy:3]@(0,1,2,3,4)  775  0  0  0  6807  0  0  0  38  0  0  0  421  0  0  0  16  0  0  0  128  0  0  0  0  0  0  0  7  0  0  0
[Gy:2Gy:3]([])^4[Gy:2Gy:3]@(0,1,2,3,4)  777  0  0  0  6829  0  0  0  26  0  0  0  423  0  0  0  11  0  0  0  121  0  0  0  1  0  0  0  4  0  0  0
[Gy:2Gy:3]([])^8[Gy:2Gy:3]@(0,1,2,3,4)  727  0  0  0  6829  0  0  0  40  0  0  0  441  0  0  0  11  0  0  0  132  0  0  0  1  0  0  0  11  0  0  0
Gy:4([])Gy:4@(0,1,2,3,4)  7193  0  0  0  405  0  0  0  430  0  0  0  21  0  0  0  130  0  0  0  4  0  0  0  9  0  0  0  0  0  0  0
Gy:4([])^2Gy:4@(0,1,2,3,4)  7138  0  0  0  434  0  0  0  468  0  0  0  31  0  0  0  110  0  0  0  5  0  0  0  6  0  0  0  0  0  0  0
Gy:4([])^4Gy:4@(0,1,2,3,4)  7201  0  0  0  418  0  0  0  429  0  0  0  24  0  0  0  110  0  0  0  3  0  0  0  6  0  0  0  1  0  0  0
Gy:4([])^8Gy:4@(0,1,2,3,4)  7215  0  0  0  396  0  0  0  430  0  0  0  28  0  0  0  104  0  0  0  11  0  0  0  8  0  0  0  0  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  3  0  0  0  34  0  0  0  51  0  0  0  453  0  0  0  54  0  0  0  535  0  0  0  739  0  0  0  6323  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^2[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  6  0  0  0  39  0  0  0  54  0  0  0  466  0  0  0  58  0  0  0  535  0  0  0  727  0  0  0  6307  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^4[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  3  0  0  0  41  0  0  0  56  0  0  0  479  0  0  0  69  0  0  0  551  0  0  0  790  0  0  0  6203  0  0  0
